ID;Reference;Designation;Mill;Coul;Cond;Cont
660;027011;DME GRAND ROUVIERE AC CDP CUVEE DES ADRETS;0;RSE;x 24;37.5 cl
661;028002;CH LES BERTRANDS AC 1ERES COTES BLAYE;2000;RGE;x 12;37.5 cl
662;028005;AC 1ERES C.BLAYE TRAD. CH L.BERTRANDS;2014;BLC;x 6;75 cl
663;028006;AC 1ERES C. BLAYE TRAD CH L.BERTRANDS;2011;RGE;x 6;150 cl
664;028007;AC 1ERES C BLAYE TRAD. CH L.BERTRANDS;0;RGE;x 1;B10L
666;028011;AC 1ERES C.BLAYE FUT CHENE (SC);2012;BLC;x 6;75 cl
667;029001;DME DE BELLE MARE AC COTEAUX DU LANGUEDOC;1999;RGE;x 6;75 cl
668;029005;VDP DE L'HERAULT. GRANGES FELINES;2011;RGE;x 6;75 cl
669;029006;VDP COLLINES DE LA MOURE;2012;RSE;x 6;75 cl
670;029010;VDP COLLINES DE LA MOURE. D.BEL MARE;2012;RGE;x 6;75 cl
671;029015;DME BELLE MARE VDPOC CHARDONNAY;2013;BLC;x 6;75 cl
674;034006;DME DU BOIS BRAUD AC MUSCADET S&M/LIE;0;BLC;x 12;37.5 cl
678;034036;DME LUNEAU VDP JARDIN DE LA France;0;BLC;x 1;B10L
679;035001;AC ST NICOLAS DE BOURG D.OLIVIER;2014;RGE;x 6;75 cl
680;035002;AC ST NICOLAS DE BOURG D.OLIVIER;2013;RGE;x 12;37.5 cl
681;035003;MONT DES OLIVIER AC ST NICOLAS DE BOURGUEIL;0;RGE;x 12;75 cl
682;035004;MONT DES OLIVIER AC ST NICOLAS DE BOURGUEIL;0;RGE;x 24;37.5 cl
683;035005;AC BOURGUEIL D.OLIVIER;2004;RSE;x 6;75 cl
684;035006;DME OLIVIER AC  BOURGUEIL;0;RSE;x 12;37.5 cl
685;035007;DME OLIVIER AC ST NICOLAS DE BOURGUEIL;2000;RGE;x 6;75 cl
686;035010;AC BOURGUEIL V.VIGNES D.OLIVIER;2014;RGE;x 6;75 cl
687;035011;DME OLIVIER AC BOURGUEIL VIEILLES VIGNES;0;RGE;x 12;37.5 cl
688;035015;AC ST NICOLAS DE BOURG D.OLIVIER;2011;RGE;x 6;150 cl
689;036001;AC CTX DU LANG .COL DU VENT;2014;RGE;x 6;75 cl
690;036010;IGP SAINT GUILHEM LE DESERT GRENACHE;0;RGE;x 1;B10L
691;036015;MONTPEYROUX AC COTEAUX DU LANGUEDOC;0;RGE;x 1;B10L
694;038005;CAVE ST MARC VDP 11,5 ;0;RGE;x 1;VRAC
695;038507;CAVE ST MARC VDT 12,5 ;2003;RGE;x 1;VRAC
696;038900;CAVE ST MARC VDT 11 ;0;RGE;x 1;VRAC
698;038905;CAVE ST MARC VDT 12 ;0;RGE;x 1;VRAC
699;038910;CAVE ST MARC VDT 13 ;0;RGE;x 1;VRAC
700;038915;CAVE ST MARC AOC COTES DU VENTOUX;0;RGE;x 1;VRAC
701;038920;"CAVE ST MARC AOC COTES DE VENTOUX ""GRANDE RESERVE""";0;RGE;x 1;VRAC
702;039001;VIGNERONS ALGLY AC MUSCAT DE RIVESALTES;0;BLC;x 1;B20L
703;039002;VIGNERONS ALGLY AC MUSCAT DE RIVESALTES;2012;BLC;x 1;B05L
706;039005;VDP C.CATALANES SYRAH;0;RSE;x 1;B10L
707;039006;VDP C. CATALANES SYRAH;0;RSE;x 1;B05L
708;039007;AC C DU ROUSSILLON .ND LAVAL;0;RGE;x 1 CB;B10L
709;039008;VIGNERONS ALGLY AC MAURY;0;BLC;x 1;B05L
711;039017;AC C.ROUSSILLON VILL ARAGO;2013;RGE;x 6;75 cl
712;039018;AC C. ROUSSILLON N D LAVAL;2014;RGE;x 6;75 cl
713;040002;CHT DE LA GRAVE AC COTES DE BOURG;0;RGE;x 6;150 cl
714;040003;CHT DE LA GRAVE AC COTES DE BOURG;0;RGE;x 6;75 cl
715;040005;CHT DE LA GRAVE AC COTES DE BOURG;0;RGE;x 24;37.5 cl
717;040011;AC C DE BOURG BEL AIR;2012;RGE;x 12;37.5 cl
719;041002;AC ST ESTEPHE C.TOUR DE PEZ;2010;RGE;x 6;75 cl
720;041003;AC ST ESTEPHE CH TOUR DE PEZ;2010;RGE;x 6;75 cl
721;041004;CH LES HAUTS  DE PEZ AC ST ESTEPHE;2005;RGE;x 6;150 cl
723;041006;AC ST ESTEPHE. C.LES HAUTS  DE PEZ;2011;RGE;x 12;37.5 cl
724;041009;T DE TOUR DE PEZ AC ST ESTEPHE;0;RGE;x 6;75 cl
725;041010;AC ST ESTEPHE CRU BOURGEOIS C.HTS PEZ;2010;RGE;x 6;75 cl
726;041011;AC ST ESTEPHE CRU BOURGEOIS C.HTS PEZ;2014;RGE;x 6;150 cl
727;041012;CH LES HAUTS  DE PEZ AC ST ESTEPHE CRU BOURGEOIS;2004;RGE;x 12;37.5 cl
728;041019;CH TOUR DE PEZ AC ST ESTEPHE;1997;RGE;x 6;150 cl
729;041020;AC ST ESTEPHE C.TOUR DE PEZ;2009;RGE;x 6;150 cl
730;042000;CELLIER DES PRINCES AC COTES DU RHONE;2003;RGE;x 1;B10L
731;042001;CELLIER DES PRINCES AC COTES DU RHONE;2003;RGE;x 1;B05L
732;042020;CELLIER DES PRINCES VDP ORANGE;2003;RGE;x 1;B10L
733;042021;CELLIER DES PRINCES VDP ORANGE;2003;RGE;x 1;B05L
734;042022;CELLIER DES PRINCES VDP ORANGE;2003;RSE;x 1;B10L
735;042023;CELLIER DES PRINCES VDP ORANGE;2003;RSE;x 1;B05L
736;042025;SCEAU DU PRINCE AC COTES DU RHONE;2000;RGE;x 6;75 cl
737;042026;SCEAU DU PRINCE AC COTES DU RHONE;2000;RGE;x 24;37.5 cl
738;042099;BLASON DU PRINCE AC CHATEAU NEUF DU PAPE;2000;RGE;x 6;75 cl
739;043899;CH CHAI NEUF AC BORDEAUX;2004;RGE;x 1;B05L
740;043900;CH CHAI NEUF AC BORDEAUX;2004;RGE;x 1;B10L
741;043901;CH GOVAIN AC COTES DE BOURG;2004;RGE;x 1;B10L
742;043902;CH GOVAIN AC COTES DE BOURG;2004;RGE;x 1;B05L
743;044001;VDPOC C.DES CIGALES DCLAPIES;2004;RGE;x 1;B10L
744;046001;AC CTX DU LANGU TRAD D.ARCHIMBAUD;2013;RGE;x 6;75 cl
745;049007;AC BX SUP Tradi  CH LAUDUC;2012;RGE;x 6;75 cl
746;049015;AC BDX Classic CH LAUDUC;2014;RGE;x 6;75 cl
747;049016;AC BDX Classic CH LAUDUC;2012;RGE;x 12;37.5 cl
748;049020;AC BDX CH.FLAMAND BELLEVUE;2014;RGE;x 6;75 cl
749;049023;AC BDX CH.FLAMAND BELLEVUE;2015;RGE;x 12;37.5 cl
750;049026;AC BDX CH.PLANTEY CANTELOUP;2010;RGE;x 6;150 cl
751;049027;AC BX SUP Tradi  CH LAUDUC;2014;RGE;x 6;150 cl
752;050001;AC FAUGERES LE 1ER CH HAUT LIGNIERES;2014;RGE;x 6;75 cl
753;050005;AC FAUGERES ROMY CH HAUT LIGNIERES;2013;RGE;x 6;75 cl
754;050010;AC FAUGERES CARMINA BUT;0;RGE;x 6;75 cl
755;051000;AC MONTAGNE ST EMILION .CH ST GEORGES;2011;RGE;x 6;75 cl
756;051016;AC MONTAGNE ST EMILION CH ST GEORGES;2012;RGE;x 24;37.5 cl
757;051017;AC MONTAGNE ST EMILION CH ST GEORGES;2011;RGE;x 6;150 cl
758;051104;AC ST EMILION GD CRU CLOS TRIMOULET;2009;RGE;x 6;75 cl
759;051131;AC ST EMILION GD CRU CLOS TRIMOULET;2012;RGE;x 24;37.5 cl
761;051129;(ne plus utiliser) cf 051134 CLOS TRIMOULET AC ST;2002;RGE;x 6;75 cl
762;052002;CH RAMAGE LA BATISSE AC HAUT MEDOC;1997;RGE;x 24;37.5 cl
763;052018;AC HAUT MEDOC CRU BOURGEOIS R.LA BATISSE;2005;RGE;x 6;75 cl
764;052019;CH RAMAGE LA BATISSE AC HAUT-MEDOC CRU BOURGEOIS;2009;RGE;x 12;75 cl
766;052026;CH RAMAGE LA BATISSE AC HAUT MEDOC CAISSE BOIS;2010;RGE;x 1;300cl D-MAG
767;052040;CLOS DE RAMAGE  AC HAUT MEDOC;2005;RGE;x 6;150 cl
768;052041;CLOS DE RAMAGE  AC HAUT MEDOC;0;RGE;x 24;37.5 cl
769;052046;CLOS DE RAMAGE AC HAUT-MEDOC;2010;RGE;x 6;150 cl
770;052055;AC C CASTILLON. CH BELCIER;2009;RGE;x 6;75 cl
772;052059;CH BELCIER AC COTE CASTILLON CAISSE BOIS;2000;RGE;x 1;300cl D-MAG
773;052060;CH BELCIER AC COTE CASTILLON;2003;RGE;x 6;Jéroboam
774;052061;CH BELCIER AC COTE CASTILLON;2005;RGE;x 6;75 cl
775;052062;AC C CASTILLON. CH BELCIER;2009;RGE;x 6;150 cl
776;052100;CH DEVISE D'ARDILLEY AC HAUT MEDOC;1998;RGE;x 6;75 cl
777;052119;CH MONRECUEIL AC COTES DE CASTILLON;2011;RGE;x 6;150 cl
778;052121;CH MONRECUEIL AC COTES DE CASTILLON;0;RGE;x 24;37.5 cl
779;052123;CH DE MONRECUEIL AC COTES DE CASTILLON;0;RGE;x 6;150 cl
780;052320;CH GUILLEMIN GAFFELIERE AC ST EMILION GRAND CRU;2010;RGE;x 6;75 cl
781;052321;CH GUILLEMIN GAFFELIERE AC ST EMILION GRAND CRU;2000;RGE;x 6;150 cl
783;052620;CH BOUYOT AC SAUTERNES;0;BLC;x 12;75 cl
786;053010;AC ST CHINIAN. LE CLOS GOUTINES;2006;RSE;x 6;75 cl
787;055001;CH GRAND BIREAU AC BORDEAUX;2000;RGE;x 6;75 cl
788;055002;CH GRAND BIREAU AC BORDEAUX;2001;RGE;x 6;75 cl
789;057001;RABASTENS VDP COTES DU TARN;0;RGE;x 1;B10L
794;060001;DOM DU VIEUX BOURG AC SAUMUR CHAMPIGNY;0;RGE;x 12;75 cl
795;060002;DOM DU VIEUX BOURG AC SAUMUR CHAMPIGNY;0;RGE;x 24;37.5 cl
796;060003;DOM DU VIEUX BOURG AC SAUMUR CHAMPIGNY V. VIGNES;0;RGE;x 6;150 cl
797;060010;DOM DU VIEUX BOURG AC SAUMUR CHAMPIGNY V. VIGNES;0;RGE;x 12;75 cl
798;060015;AC SAUMUR CHAMP. D VX BOURG;2015;RGE;x 6;75 cl
799;060016;AC SAUMUR CHAMP. D VX BOURG;2015;RGE;x 12;37.5 cl
800;062000;AC GRAVES. CARBON D'ARTIGUES;2007;RGE;x 6;75 cl
801;062001;AC GRAVES CARBON D'ARTIGUES;2013;RGE;x 24;37.5 cl
802;062002;AC GRAVES. CARBON D'ARTIGUES;2012;RGE;x 6;150 cl
803;062021;AC GRAVES. CARBON D'ARTIGUES;2015;BLC;x 6;75 cl
804;062022;AC GRAVES. CARBON D'ARTIGUES;2015;BLC;x 24;37.5 cl
805;062040;CH LA PASSONNE AC LOUPIAC LIQUOREUX;2005;BLC;x 6;75 cl
806;062041;CH LA PASSONNE AC LOUPIAC LIQUOREUX;2003;BLC;x 24;37.5 cl
807;062042;CH LA PASSONNE AC LOUPIAC;0;BLC;x 24;37.5 cl
809;063053;CH GALAU (T.B)  AC COTES DE BOURG;0;RGE;x 6;150 cl
811;063084;CH NODOZ  T. B.  AC COTES DE BOURG;0;RGE;x 6;75 cl
813;066002;CH DU FRANDAT AC BUZET;0;RGE;x 12;37.5 cl
815;066013;CH LES HAUTS DU FRANDAT AC BUZET;0;RGE;x 24;37.5 cl
818;067010;DME DE LA CAMARETTE AC  VENTOUX;2003;RGE;x 6;75 cl
820;069001;DME AUDINIERES VDP CHARDONNAY;2003;BLC;x 6;75 cl
821;069005;DME AUDINIERES VDP JARDIN DE LA France CABERNET;2003;RGE;x 6;75 cl
822;069010;DME AUDINIERES VDP MUSCADET S&M / LIE;2007;BLC;x 6;75 cl
823;069015;DME AUDINIERES VDP GAMAY;0;RGE;x 1;B10L
824;069016;DME AUDINIERES VDP GAMAY;0;RGE;x 1;B05L
827;070010;EL GRANO CABERNET;2003;RGE;x 6;75 cl
828;070015;VIN DU CHILI EL PODA CORTA;2011;RGE;x 6;75 cl
830;030004;CH LAPEYRERE AC BORDEAUX;2004;RGE;x 6;75 cl
835;054001;AC FRONSAC. CH JEANDEMAN;2009;RGE;x 6;75 cl
836;054005;AC LALANDE DE POMEROL. CH LABORDE;2014;RGE;x 6;75 cl
837;054010;LA PIECELLE AC BORDEAUX SUPERIEUR;2000;RGE;x 6;75 cl
840;086005;BERTICOT AC COTES DE DURAS;0;BLC;x 1;B10L
841;086007;( NE PLUS UTILISER) BERTICOT AC COTES DE DURAS;2004;RSE;x 1;B10L
842;086008;(NE PAS UTILISER) BERTICOT AC COTES DE DURAS;2005;RSE;x 1;B05L
846;086016;LES PEYRIERES AC COTES DE DURAS MONTRAME;0;BLC;x 6;75 cl
847;089002;AC SAUMUR C.DU PRINTEMPS LA PALEINE;2014;RGE;x 6;75 cl
849;089010;AC SAUMUR DLA PALEINE;2014;BLC;x 6;75 cl
850;089015;DOM LA PALEINE AC SAUMUR;0;RGE;x 6;150 cl
851;089900;AC SAUMUR RESERVE D.LA PALEINE;0;RGE;x 1;B10L
852;089903;AC SAUMUR BRUT M.TRAD LA PALEINE;2016;BLC;x 6;75 cl
853;095001;AC BOURG ALIG D.FILLON;2015;BLC;x 6;75 cl
854;095002;AC BOURG ALIG D.FILLON;2014;BLC;x 12;37.5 cl
855;095005;DOM FILLON AC SAUVIGNON DE ST BRIS;2014;BLC;x 6;75 cl
857;095010;DOM FILLON AC PETIT CHABLIS;2015;BLC;x 6;75 cl
858;095012;DOM FILLON AC CHABLIS;2014;BLC;x 6;75 cl
859;095014;DOM FILLON AC CHABLIS VIEILLES VIGNES;2015;BLC;x 6;75 cl
860;095015;DOM FILLON AC CHABLIS VIEILLES VIGNES;2012;BLC;x 12;37.5 cl
861;095016;"DOM FILLON AC CHABLIS 1ER CRU ""BEAUREGARD""";2012;BLC;x 6;75 cl
862;096006;AC GRAVES CH DE L'HOSPITAL;2009;RGE;x 6;75 cl
863;097002;AC C.MALEPERE C.COINTES;2009;RSE;x 6;75 cl
864;097003;AC C.MALEPERE C.COINTES;2014;RGE;x 6;75 cl
865;097004;VDP MERLOT D.DES CONSULS;2014;RGE;x 6;75 cl
866;097005;CH COINTES AC COTES MALEPERE;2004;RGE;x 6;75 cl
867;099001;VDP C DE THAU D.VILLEMARIN;2015;RGE;x 6;75 cl
868;099002;VDP C DE THAU D.VILLEMARIN;2015;RSE;x 6;75 cl
869;099003;VDP C DE THAU D.VILLEMARIN;2015;BLC;x 6;75 cl
870;103002;CH OLIVOUX AC BERGERAC;2002;RGE;x 6;75 cl
871;103010;DME NAUDINES AC BERGERAC;2001;RGE;x 1;B10L
872;103011;DME NAUDINES AC BERGERAC;2001;RGE;x 1;B05L
873;103015;CH OLIVOUX AC MONBAZILLAC;2002;BLC;x 6;75 cl
877;108010;CH BREUILH AC MEDOC;2000;RGE;x 6;75 cl
878;111001;AC ST CHINIAN C.DE LA BOLE;2003;RGE;x 1;B10L
879;111002;AC ST CHINIAN C.DE LA BOLE;2003;RGE;x 1;B05L
882;112005;CH LA PUJADE AC CORBIERES FUT DE CHENE;2000;RGE;x 6;75 cl
883;112010;CUVEE GOMARD AC CORBIERES;2001;RGE;x 6;75 cl
885;112020;CH LA PUJADE AC CORBIERES;2001;RGE;x 1;B10L
886;114001;AC TOURAINE D.LA CHAISE;2015;BLC;x 6;75 cl
887;114002;AC TOURAINE D.LA CHAISE;2015;BLC;x 12;37.5 cl
888;114005;AC GAMAY TOURAINE D.LA CHAISE;2014;RGE;x 6;75 cl
889;114006;AC GAMAY TOURAINE D.LA CHAISE;2013;RGE;x 12;37.5 cl
890;115001;AC C DU RHONE CH DES ROQUES;2011;RGE;x 6;75 cl
891;115005;AC VACQUEYRAS CH DES ROQUES;2012;RGE;x 6;75 cl
892;115006;CH DES ROQUES AC VACQUEYRAS;2000;RGE;x 6;150 cl
899;082010;HOBIBAG ROUGE 10 L UNI - ANCIEN MODELE;0;RGE;x 1;37.5 cl
902;080006;CUVEE MARECHAL AC SANCERRE;2011;RGE;x 12;75 cl
903;080007;CUVEE MARECHAL AC SANCERRE;2013;BLC;x 12;75 cl
904;080010;AC SANCERRE D.DE ST PIERRE;2014;BLC;x 6;75 cl
905;080011;AC SANCERRE D.DE ST PIERRE;2014;BLC;x 12;37.5 cl
906;080012;DOMAINE DE ST PIERRE AC SANCERRE;0;BLC;x 6;150 cl
907;080013;AC SANCERRE D.DE ST PIERRE;2014;RSE;x 6;75 cl
908;080014;AC SANCERRE D.DE ST PIERRE;2014;RSE;x 12;37.5 cl
909;080015;AC SANCERRE D.DE ST PIERRE;2012;RGE;x 6;75 cl
910;080016;AC SANCERRE D.DE ST PIERRE;2011;RGE;x 12;37.5 cl
919;018016;CH VALLAGON AC TOURAINE SAUVIGNON;0;BLC;x 12;37.5 cl
920;018020;DME DU BOUC AC TOURAINE SAUVIGNON;0;BLC;x 12;75 cl
921;018021;DME DU BOUC AC TOURAINE SAUVIGNON;0;BLC;x 12;37.5 cl
922;018050;VALLEE DES ROIS AC TOURAINE GAMAY;0;RGE;x 6;75 cl
