ID;Reference;Designation;Mill;Coul;Cond;Cont;
632;019013;CHATEAU GAURY-BALETTE;2001;RGE;x 6;75 cl;
633;019014;CHATEAU GAURY-BALETTE;2010;RGE;x 12;37.5 cl;1
634;019015;AOP ENTRE 2 MERS CHATEAU GAURY-BALETTE;2014;BLC;x 6;75 cl;1
635;019016;CHATEAU GAURY-BALETTE;0;RSE;x 6;75 cl;
636;021030;LES VIGNERONS ROMANAIS AC GAMAY TOURAINE;0;BLC;x 1;B10L;
639;025001;AOP SAINT-VERAN TRADITION COLLOVRAY&TERRIER;2014;BLC;x 6;75 cl;
641;025010;AOP MACON VILLAGE TRADITION COLLOVRAY&TERRIER;2015;BLC;x 6;75 cl;
642;025013;AOP MACON VERGER DES FEUILLANTS;2013;RGE;x 6;75 cl;
643;025015;IGP PINOT NOIR DOMAINE D'ANTUGNAC;2014;RGE;x 6;75 cl;
644;025016;IGP MERLOT  DOMAINE D'ANTUGNIAC;2010;RGE;x 6;75 cl;
645;025024;IGP CHARDONNAY DOMAINE D'ANTUGNIAC ;2002;BLC;x 6;75 cl;
646;025031;AOP LIMOUX Terres Amoureuses DOMAINE D'ANTUGNAC;2013;BLC;x 6;75 cl;
650;026021;AOP COTEAUX DU LYONNAIS FRUITS ET FLEURS;2011;RGE;x 6;75 cl;
651;026022;AOP BEAUJOLAIS NOUVEAU PLAISIR DU FRUIT;2011;RGE;x 1;B05L;
652;026023;AOP BEAUJOLAIS NOUVEAU PLAISIR DU FRUIT;2011;RGE;x 1;B10L;
656;027002;AOP COTES DE PROVENCE;0;RSE;x 24;37.5 cl;
657;027005;AOP COTES DE PROVENCE NON MILLES;0;RSE;x 12;37.5 cl;
659;027010;AOP CDP CUVEE DES ADRETS;0;RSE;x 6;75 cl;
660;027011;AOP CDP CUVEE DES ADRETS;0;RSE;x 24;37.5 cl;
661;028002;AOP 1ERES COTES BLAYE CHATEAU LES BERTRANDS;2000;RGE;x 12;37.5 cl;
662;028005;AOP 1ERES COTES DE BLAYE TRADITION CHATEAU LES BERTRANDS;2014;BLC;x 6;75 cl;1
663;028006;AOP 1ERES COTES DE BLAYE TRADITION CHATEAU LES BERTRANDS;2011;RGE;x 6;150 cl;1
664;028007;AOP 1ERES COTES DE BLAYE TRADITION CHATEAU LES BERTRANDS;0;RGE;x 1;B10L;
666;028011;AOP 1ERES COTES DE BLAYE FUT CHENE (SC);2012;BLC;x 6;75 cl;1
667;029001;DOMAINE DE BELLE MARE AOP COTEAUX DU LANGUEDOC;1999;RGE;x 6;75 cl;
668;029005;VDP DE L'HERAULT. GRANGES FELINES;2011;RGE;x 6;75 cl;
669;029006;IGP COLLINES DE LA MOURE;2012;RSE;x 6;75 cl;
670;029010;IGP COLLINES DE LA MOURE DOMAINE BELLE MARE;2012;RGE;x 6;75 cl;
671;029015;DOMAINE BELLE MARE PAYS D'OC CHARDONNAY;2013;BLC;x 6;75 cl;
674;034006;DOMAINE DU BOIS BRAUD AOP MUSCADET;0;BLC;x 12;37.5 cl;
678;034036;DOMAINE LUNEAU IGP JARDIN DE LA FRANCE;0;BLC;x 1;B10L;
679;035001;AOP ST NICOLAS DE BOURGUEIL DOMAINE OLIVIER;2014;RGE;x 6;75 cl;
680;035002;AOP ST NICOLAS DE BOURGUEIL DOMAINE OLIVIER;2013;RGE;x 12;37.5 cl;
681;035003;MONT DES OLIVIERS AOP ST NICOLAS DE BOURGUEIL;0;RGE;x 12;75 cl;
682;035004;MONT DES OLIVIERS AOP ST NICOLAS DE BOURGUEIL;0;RGE;x 24;37.5 cl;
683;035005;AOP BOURGUEIL DOMAINE OLIVIER;2004;RSE;x 6;75 cl;
684;035006;AOP BOURGUEIL DOMAINE OLIVIER;0;RSE;x 12;37.5 cl;
685;035007;AOP ST NICOLAS DE BOURGUEIL DOMAINE OLIVIER;2000;RGE;x 6;75 cl;
686;035010;AOP BOURGUEIL VIEILLES VIGNES DOMAINE OLIVIER;2014;RGE;x 6;75 cl;
687;035011;AOP BOURGUEIL VIEILLES VIGNES DOMAINE OLIVIER;0;RGE;x 12;37.5 cl;
688;035015;AOP ST NICOLAS DE BOURGUEIL DOMAINE OLIVIER;2011;RGE;x 6;150 cl;
689;036001;AOP COTEAUX DU LANGUEDOC COL DU VENT;2014;RGE;x 6;75 cl;
690;036010;IGP SAINT GUILHEM LE DESERT GRENACHE;0;RGE;x 1;B10L;
691;036015;MONTPEYROUX AOP COTEAUX DU LANGUEDOC;0;RGE;x 1;B10L;
694;038005;CAVE ST MARC VDP 11,5 deg;0;RGE;x 1;VRAC;
695;038507;CAVE ST MARC VDT 12,5 deg;2003;RGE;x 1;VRAC;
696;038900;CAVE ST MARC VDT 11 deg;0;RGE;x 1;VRAC;
698;038905;CAVE ST MARC VDT 12 deg;0;RGE;x 1;VRAC;
699;038910;CAVE ST MARC VDT 13 deg;0;RGE;x 1;VRAC;
700;038915;CAVE ST MARC AOC COTES DU VENTOUX;0;RGE;x 1;VRAC;
701;038920;"CAVE ST MARC AOC COTES DE VENTOUX ""GRANDE RESERVE""";0;RGE;x 1;VRAC;
702;039001;VIGNERONS ALGLY AOP MUSCAT DE RIVESALTES;0;BLC;x 1;B20L;
703;039002;VIGNERONS ALGLY AOP MUSCAT DE RIVESALTES;2012;BLC;x 1;B05L;
706;039005;VDP C.CATALANES SYRAH;0;RSE;x 1;B10L;
707;039006;VDP C. CATALANES SYRAH;0;RSE;x 1;B05L;
708;039007;AC C DU ROUSSILLON .ND LAVAL;0;RGE;x 1 CB;B10L;
709;039008;VIGNERONS ALGLY AC MAURY;0;BLC;x 1;B05L;
711;039017;AOP COTEAUX DU ROUSSILLON VILLAGE ARAGO;2013;RGE;x 6;75 cl;
712;039018;AOP COTEAUX DU ROUSSILLON N D LAVAL;2014;RGE;x 6;75 cl;
713;040002;CHATEAU DE LA GRAVE AOP COTES DE BOURG;0;RGE;x 6;150 cl;
714;040003;CHATEAU DE LA GRAVE AOP COTES DE BOURG;0;RGE;x 6;75 cl;
715;040005;CHATEAU DE LA GRAVE AOP COTES DE BOURG;0;RGE;x 24;37.5 cl;
717;040011;AOP COTES DE BOURG BEL AIR;2012;RGE;x 12;37.5 cl;1
719;041002;AOP ST-ESTEPHE CHATEAU TOUR DE PEZ;2010;RGE;x 6;75 cl;
720;041003;AOP ST-ESTEPHE CHATEAU TOUR DE PEZ;2010;RGE;x 6;75 cl;
721;041004;AOP ST-ESTEPHE CRU BOURGEOIS CHATEAU LES HAUTS DE PEZ;2005;RGE;x 6;150 cl;
723;041006;AOP ST-ESTEPHE CHATEAU LES HAUTS DE PEZ;2011;RGE;x 12;37.5 cl;
724;041009;T DE TOUR DE PEZ AOP ST ESTEPHE;0;RGE;x 6;75 cl;
725;041010;AOP ST-ESTEPHE CRU BOURGEOIS CHATEAU LES HAUTS DE PEZ;2010;RGE;x 6;75 cl;
726;041011;AOP ST-ESTEPHE CRU BOURGEOIS CHATEAU LES HAUTS DE PEZ;2014;RGE;x 6;150 cl;
727;041012;AOP ST-ESTEPHE CRU BOURGEOIS CHATEAU LES HAUTS DE PEZ;2004;RGE;x 12;37.5 cl;
728;041019;AOP ST-ESTEPHE CHATEAU TOUR DE PEZ;1997;RGE;x 6;150 cl;
729;041020;AOP ST-ESTEPHE CHATEAU TOUR DE PEZ;2009;RGE;x 6;150 cl;
730;042000;CELLIER DES PRINCES AOP COTES DU RHONE;2003;RGE;x 1;B10L;
731;042001;CELLIER DES PRINCES AOP COTES DU RHONE;2003;RGE;x 1;B05L;
732;042020;CELLIER DES PRINCES VIN DE PAYS D'ORANGE;2003;RGE;x 1;B10L;
733;042021;CELLIER DES PRINCES VIN DE PAYS D'ORANGE;2003;RGE;x 1;B05L;
734;042022;CELLIER DES PRINCES VIN DE PAYS D'ORANGE;2003;RSE;x 1;B10L;
735;042023;CELLIER DES PRINCES VIN DE PAYS D'ORANGE;2003;RSE;x 1;B05L;
736;042025;SCEAU DU PRINCE AOP COTES DU RHONE;2000;RGE;x 6;75 cl;
737;042026;SCEAU DU PRINCE AOP COTES DU RHONE;2000;RGE;x 24;37.5 cl;
738;042099;BLASON DU PRINCE AOP CHATEAUNEUF DU PAPE;2000;RGE;x 6;75 cl;
739;043899;CH CHAI NEUF AC BORDEAUX;2004;RGE;x 1;B05L;
740;043900;CH CHAI NEUF AC BORDEAUX;2004;RGE;x 1;B10L;
741;043901;CH GOVAIN AC COTES DE BOURG;2004;RGE;x 1;B10L;
742;043902;CH GOVAIN AC COTES DE BOURG;2004;RGE;x 1;B05L;
743;044001;VDPOC C.DES CIGALES DCLAPIES;2004;RGE;x 1;B10L;
744;046001;AOP COTEAUX DU LANGUEDOC TRADITION DOMAINE ARCHIMBAUD;2013;RGE;x 6;75 cl;
745;049007;AOP BORDEAUX SUPERIEUR TRADITION CHATEAU LAUDUC;2012;RGE;x 6;75 cl;1
746;049015;AOP BORDEAUX SUPERIEUR CLASSIQUE CHATEAU LAUDUC;2014;RGE;x 6;75 cl;1
747;049016;AOP BORDEAUX SUPERIEUR CLASSIQUE CHATEAU LAUDUC;2012;RGE;x 12;37.5 cl;1
748;049020;AOP BORDEAUX CHATEAU FLAMAND BELLEVUE;2014;RGE;x 6;75 cl;1
749;049023;AOP BORDEAUX CHATEAU FLAMAND BELLEVUE;2015;RGE;x 12;37.5 cl;1
750;049026;AC BORDEAUX CHATEAU PLANTEY CANTELOUP;2010;RGE;x 6;150 cl;
751;049027;AOP BORDEAUX SUPERIEUR TRADITION CHATEAU LAUDUC;2014;RGE;x 6;150 cl;1
752;050001;AOP FAUGERES LE 1ER CHATEAU HAUT LIGNIERES;2014;RGE;x 6;75 cl;
753;050005;AOP FAUGERES ROMY CHATEAU HAUT LIGNIERES;2013;RGE;x 6;75 cl;
754;050010;AOP FAUGERES CARMINA BUTIS;0;RGE;x 6;75 cl;
755;051000;AOP MONTAGNE ST EMILION CHATEAU ST GEORGES;2011;RGE;x 6;75 cl;1
756;051016;AOP MONTAGNE ST EMILION CHATEAU ST GEORGES;2012;RGE;x 24;37.5 cl;1
757;051017;AOP MONTAGNE ST EMILION CHATEAU ST GEORGES;2011;RGE;x 6;150 cl;1
758;051104;AOP ST EMILION GRAND CRU CLOS TRIMOULET;2009;RGE;x 6;75 cl;
759;051131;AOP ST EMILION GRAND CRU CLOS TRIMOULET;2012;RGE;x 24;37.5 cl;1
761;051129;(ne plus utiliser) cf 051134 CLOS TRIMOULET AC ST;2002;RGE;x 6;75 cl;
762;052002;CHATEAU RAMAGE LA BATISSE AOP HAUT MEDOC;1997;RGE;x 24;37.5 cl;
763;052018;CHATEAU RAMAGE LA BATISSE AOP HAUT MEDOC CRU BOURGEOIS;2005;RGE;x 6;75 cl;
764;052019;CHATEAU RAMAGE LA BATISSE AOP HAUT MEDOC CRU BOURGEOIS;2009;RGE;x 12;75 cl;
766;052026;CHATEAU RAMAGE LA BATISSE AOP HAUT MEDOC CAISSE BOIS;2010;RGE;x 1;300cl D-MAG;
767;052040;ENCLOS DE RAMAGE  AOP HAUT-MEDOC;2005;RGE;x 6;150 cl;
768;052041;ENCLOS DE RAMAGE  AOP HAUT-MEDOC;0;RGE;x 24;37.5 cl;
769;052046;ENCLOS DE RAMAGE  AOP HAUT-MEDOC;2010;RGE;x 6;150 cl;
770;052055;AOP COTES DE CASTILLON CHATEAU BELCIER;2009;RGE;x 6;75 cl;1
772;052059;AOP COTES DE CASTILLON CHATEAU BELCIER CAISSE BOIS;2000;RGE;x 1;300cl D-MAG;
773;052060;AOP COTES DE CASTILLON CHATEAU BELCIER;2003;RGE;x 6;Jeroboam;
774;052061;AOP COTES DE CASTILLON CHATEAU BELCIER;2005;RGE;x 6;75 cl;
775;052062;AOP COTES DE CASTILLON CHATEAU BELCIER;2009;RGE;x 6;150 cl;1
776;052100;CHATEAU DEVISE D'ARDILLEY AOP HAUT-MEDOC;1998;RGE;x 6;75 cl;
777;052119;CHATEAU MONRECUEIL AOP COTES DE CASTILLON;2011;RGE;x 6;150 cl;
778;052121;CHATEAU MONRECUEIL AOP COTES DE CASTILLON;0;RGE;x 24;37.5 cl;
779;052123;CHATEAU MONRECUEIL AOP COTES DE CASTILLON;0;RGE;x 6;150 cl;
780;052320;CHATEAU GUILLEMIN GAFFELIERE AOP ST EMILION GRAND CRU;2010;RGE;x 6;75 cl;
781;052321;CHATEAU GUILLEMIN GAFFELIERE AOP ST EMILION GRAND CRU;2000;RGE;x 6;150 cl;
783;052620;CHATEAU BOUYOT AOP SAUTERNES;0;BLC;x 12;75 cl;
786;053010;AOP ST CHINIAN LE CLOS GOUTINES;2006;RSE;x 6;75 cl;
787;055001;CHATEAU GRAND BIREAU AOP BORDEAUX;2000;RGE;x 6;75 cl;
788;055002;CHATEAU GRAND BIREAU AOP BORDEAUX;2001;RGE;x 6;75 cl;
789;057001;RABASTENS VIN DE PAYS COTES DU TARN;0;RGE;x 1;B10L;
794;060001;DOMAINE DU VIEUX BOURG AOP SAUMUR CHAMPIGNY;0;RGE;x 12;75 cl;
795;060002;DOMAINE DU VIEUX BOURG AOP SAUMUR CHAMPIGNY;0;RGE;x 24;37.5 cl;
796;060003;DOMAINE DU VIEUX BOURG AOP SAUMUR CHAMPIGNY VIEILLES VIGNES;0;RGE;x 6;150 cl;
797;060010;DOMAINE DU VIEUX BOURG AOP SAUMUR CHAMPIGNY VIEILLES VIGNES;0;RGE;x 12;75 cl;
798;060015;DOMAINE DU VIEUX BOURG AOP SAUMUR CHAMPIGNY;2015;RGE;x 6;75 cl;
799;060016;DOMAINE DU VIEUX BOURG AOP SAUMUR CHAMPIGNY;2015;RGE;x 12;37.5 cl;
800;062000;AOP GRAVES CARBON D'ARTIGUES;2007;RGE;x 6;75 cl;
801;062001;AOP GRAVES CARBON D'ARTIGUES;2013;RGE;x 24;37.5 cl;1
802;062002;AOP GRAVES CARBON D'ARTIGUES;2012;RGE;x 6;150 cl;1
803;062021;AOP GRAVES CARBON D'ARTIGUES;2015;BLC;x 6;75 cl;1
804;062022;AOP GRAVES CARBON D'ARTIGUES;2015;BLC;x 24;37.5 cl;1
805;062040;CHATEAU LA PASSONNE AOP LOUPIAC LIQUOREUX;2005;BLC;x 6;75 cl;
806;062041;CHATEAU LA PASSONNE AOP LOUPIAC LIQUOREUX;2003;BLC;x 24;37.5 cl;
807;062042;CHATEAU LA PASSONNE AOP LOUPIAC;0;BLC;x 24;37.5 cl;
809;063053;CHATEAU GALAU (T.B)  AOP COTES DE BOURG;0;RGE;x 6;150 cl;
811;063084;CHATEAU NODOZ  T. B.  AOP COTES DE BOURG;0;RGE;x 6;75 cl;
813;066002;CHATEAU DU FRANDAT AOP BUZET;0;RGE;x 12;37.5 cl;
815;066013;CHATEAU LES HAUTS DU FRANDAT AOP BUZET;0;RGE;x 24;37.5 cl;
818;067010;DOMAINE DE LA CAMARETTE AC VENTOUX;2003;RGE;x 6;75 cl;
820;069001;DOMAINE AUDINIERES VIN DE PAYS CHARDONNAY;2003;BLC;x 6;75 cl;
821;069005;DOMAINE AUDINIERES VIN DE PAYS JARDIN DE LA FRANCE CABERNET;2003;RGE;x 6;75 cl;
822;069010;DOMAINE AUDINIERES VIN DE PAYS MUSCADET S&M / LIE;2007;BLC;x 6;75 cl;
823;069015;DOMAINE AUDINIERES VIN DE PAYS GAMAY;0;RGE;x 1;B10L;
824;069016;DOMAINE AUDINIERES VIN DE PAYS GAMAY;0;RGE;x 1;B05L;
827;070010;EL GRANO CABERNET;2003;RGE;x 6;75 cl;
828;070015;VIN DU CHILI EL PODA CORTA;2011;RGE;x 6;75 cl;
830;030004;CHATEAU LAPEYRERE AOP BORDEAUX;2004;RGE;x 6;75 cl;
835;054001;AOP FRONSAC CHATEAU JEANDEMAN;2009;RGE;x 6;75 cl;
836;054005;AOP LALANDE DE POMEROL CHATEAU LABORDE;2014;RGE;x 6;75 cl;1
837;054010;LA PIECELLE AOP BORDEAUX SUPERIEUR;2000;RGE;x 6;75 cl;
840;086005;BERTICOT AOP COTES DE DURAS;0;BLC;x 1;B10L;
841;086007;( NE PLUS UTILISER) BERTICOT AC COTES DE DURAS;2004;RSE;x 1;B10L;
842;086008;(NE PAS UTILISER) BERTICOT AC COTES DE DURAS;2005;RSE;x 1;B05L;
846;086016;LES PEYRIERES AOP COTES DE DURAS MONTRAME;0;BLC;x 6;75 cl;
847;089002;AOP SAUMUR CUVEE DU PRINTEMPS LA PALEINE;2014;RGE;x 6;75 cl;
849;089010;AOP SAUMUR LA PALEINE;2014;BLC;x 6;75 cl;
850;089015;AOP SAUMUR LA PALEINE;0;RGE;x 6;150 cl;
851;089900;AOP SAUMUR RESERVE LA PALEINE;0;RGE;x 1;B10L;
852;089903;AOP SAUMUR BRUT METHODE TRADITIONNELLE LA PALEINE;2016;BLC;x 6;75 cl;
853;095001;DOMAINE FILLON AOP BOURGOGNE ALIGOTE ;2015;BLC;x 6;75 cl;
854;095002;DOMAINE FILLON AOP BOURGOGNE ALIGOTE ;2014;BLC;x 12;37.5 cl;
855;095005;DOMAINE FILLON AOP SAUVIGNON DE ST BRIS;2014;BLC;x 6;75 cl;
857;095010;DOMAINE FILLON AOP PETIT CHABLIS;2015;BLC;x 6;75 cl;
858;095012;DOMAINE FILLON AOP CHABLIS;2014;BLC;x 6;75 cl;
859;095014;DOMAINE FILLON AOP CHABLIS VIEILLES VIGNES;2015;BLC;x 6;75 cl;
860;095015;DOMAINE FILLON AOP CHABLIS VIEILLES VIGNES;2012;BLC;x 12;37.5 cl;
861;095016;"DOMAINE FILLON AOP CHABLIS 1ER CRU ""BEAUREGARD""";2012;BLC;x 6;75 cl;
862;096006;AOP GRAVES CHATEAU DE L'HOSPITAL;2009;RGE;x 6;75 cl;
863;097002;AOP COTES DE LA MALEPERE CHATEAU DES COINTES;2009;RSE;x 6;75 cl;
864;097003;AOP COTES DE LA MALEPERE CHATEAU DES COINTES;2014;RGE;x 6;75 cl;
865;097004;IGP MERLOT DOMAINE DES CONSULS;2014;RGE;x 6;75 cl;
866;097005;AOP COTES DE LA MALEPERE CHATEAU DES COINTES;2004;RGE;x 6;75 cl;
867;099001;IGP COLLINES DE LA MOURE DOMAINE VILLEMARIN;2015;RGE;x 6;75 cl;
868;099002;IGP COTES DE THAU DOMAINE VILLEMARIN;2015;RSE;x 6;75 cl;
869;099003;IGP COTES DE THAU DOMAINE VILLEMARIN;2015;BLC;x 6;75 cl;
870;103002;CHATEAU OLIVOUX AOP BERGERAC;2002;RGE;x 6;75 cl;
871;103010;DOMAINE NAUDINES AOP BERGERAC;2001;RGE;x 1;B10L;
872;103011;DOMAINE NAUDINES AOP BERGERAC;2001;RGE;x 1;B05L;
873;103015;CHATEAU OLIVOUX AOP MONBAZILLAC;2002;BLC;x 6;75 cl;
877;108010;CHATEAU BREUIL AOP MEDOC;2000;RGE;x 6;75 cl;
878;111001;AOP ST CHINIAN CHATEAU DE LA BOLE;2003;RGE;x 1;B10L;
879;111002;AOP ST CHINIAN CHATEAU DE LA BOLE;2003;RGE;x 1;B05L;
882;112005;CHATEAU LA PUJADE AOP CORBIERES FUT DE CHENE;2000;RGE;x 6;75 cl;
883;112010;CUVEE GOMARD AOP CORBIERES;2001;RGE;x 6;75 cl;
885;112020;CHATEAU LA PUJADE AOP CORBIERES;2001;RGE;x 1;B10L;
886;114001;AOP TOURAINE DOMAINE DE LA CHAISE;2015;BLC;x 6;75 cl;
887;114002;AOP TOURAINE DOMAINE DE LA CHAISE;2015;BLC;x 12;37.5 cl;
